"campaign_id","audience","audience_description","age_band","platform_lane","hook","headline","caption","cta","fictional_profile","asset_4x5","asset_square"
"HER-01","women","Women evaluating a male partner's unexplained contact","25–54","Paid-edgy","Who is he texting after midnight?","See who the number connects to","A phone number can connect to public profiles, handles, and other context. Start with what you know and review the source trail in Anya.","Check the number","Maya Bennett, 29","output/ads/gendered-relationship/women/women-who-is-he-texting-midnight-4x5.png","output/ads/gendered-relationship/women/women-who-is-he-texting-midnight-square.png"
"HER-02","women","Women evaluating a male partner's unexplained contact","25–54","Paid-edgy","Who is she in his phone?","Look beyond the saved name","The contact name is only one clue. Search the number and review the public profiles and handles that connect.","Check the number","Maya Bennett, 29","output/ads/gendered-relationship/women/women-who-is-she-in-his-phone-4x5.png",""
"HER-03","women","Women evaluating a male partner's unexplained contact","25–54","Paid-edgy","Why does her name keep showing up?","Connect the public signals","When the same name keeps appearing, a public-source search can help you understand which profiles and identifiers connect.","Check the number","Maya Bennett, 29","output/ads/gendered-relationship/women/women-why-her-name-keeps-showing-4x5.png",""
"HER-04","women","Women evaluating a male partner's unexplained contact","25–54","Paid-edgy","Is he talking to someone else?","Start with the number","Anya connects public profile and contact signals so you can review the identity context without relying on a guess.","Check the number","Maya Bennett, 29","output/ads/gendered-relationship/women/women-is-he-talking-to-someone-else-4x5.png",""
"HER-05","women","Women evaluating a male partner's unexplained contact","25–54","Paid-edgy","Who keeps calling him back?","See what connects to the number","Search the phone number and review the public names, profiles, and related handles that appear in the source trail.","Check the number","Maya Bennett, 29","output/ads/gendered-relationship/women/women-who-keeps-calling-him-back-4x5.png",""
"HIM-01","men","Men evaluating a female partner's unexplained contact","25–54","Paid-edgy","Who is she texting after midnight?","See who the number connects to","A phone number can connect to public profiles, handles, and other context. Start with what you know and review the source trail in Anya.","Check the number","Marcus Cole, 31","output/ads/gendered-relationship/men/men-who-is-she-texting-midnight-4x5.png","output/ads/gendered-relationship/men/men-who-is-she-texting-midnight-square.png"
"HIM-02","men","Men evaluating a female partner's unexplained contact","25–54","Paid-edgy","Who is he in her phone?","Look beyond the saved name","The contact name is only one clue. Search the number and review the public profiles and handles that connect.","Check the number","Marcus Cole, 31","output/ads/gendered-relationship/men/men-who-is-he-in-her-phone-4x5.png",""
"HIM-03","men","Men evaluating a female partner's unexplained contact","25–54","Paid-edgy","Why does his name keep showing up?","Connect the public signals","When the same name keeps appearing, a public-source search can help you understand which profiles and identifiers connect.","Check the number","Marcus Cole, 31","output/ads/gendered-relationship/men/men-why-his-name-keeps-showing-4x5.png",""
"HIM-04","men","Men evaluating a female partner's unexplained contact","25–54","Paid-edgy","Is she talking to someone else?","Start with the number","Anya connects public profile and contact signals so you can review the identity context without relying on a guess.","Check the number","Marcus Cole, 31","output/ads/gendered-relationship/men/men-is-she-talking-to-someone-else-4x5.png",""
"HIM-05","men","Men evaluating a female partner's unexplained contact","25–54","Paid-edgy","Who keeps calling her back?","See what connects to the number","Search the phone number and review the public names, profiles, and related handles that appear in the source trail.","Check the number","Marcus Cole, 31","output/ads/gendered-relationship/men/men-who-keeps-calling-her-back-4x5.png",""
