"campaign_id","category","campaign","audience","age_band","platform_lane","hook","headline","caption","cta","landing","asset_4x5","asset_square"
"KID-01","Protecting kids","Who is texting","Parents of teens who use messaging and gaming platforms","35–60","Paid-safe","Who is texting your kid?","See what connects to the username","An online contact usually leaves more than one public signal. Search the username with Anya and review what connects.","Check the username","/#search — Username","output/ads/campaigns/kids/kids-who-is-texting-4x5.png","output/ads/campaigns/kids/kids-who-is-texting-square.png"
"KID-02","Protecting kids","Game lobby","Parents of children and teens active in online games","30–50","Paid-safe","Who's in their game lobby?","Look beyond the game lobby","Start with the gaming name they already use. Anya checks relevant public account surfaces and brings the useful signals together.","Search the gaming name","/#search — Username","output/ads/campaigns/kids/kids-game-lobby-4x5.png",""
"KID-03","Protecting kids","New online friend","Parents hearing about a new online friend","35–55","Paid-safe","Who is the new friend?","See where the username appears","A new online friend has a username. Use that public starting point to understand where else the name appears.","Check the username","/#search — Username","output/ads/campaigns/kids/kids-new-online-friend-4x5.png",""
"KID-04","Protecting kids","Group chat number","Parents who notice a new number in a family or school group chat","40–60","Paid-safe","Know who's in the group chat.","See what connects to the number","When a new number appears, start with what you know. Anya organizes public identity and exposure signals in one place.","Check the number","/#search — Phone","output/ads/campaigns/kids/kids-group-chat-4x5.png",""
"KID-05","Protecting kids","Before meeting offline","Parents concerned about an online friendship becoming an in-person meeting","35–60","Organic-first","Before online becomes in person.","Check the public trail first","Before an online connection becomes an in-person meeting, review the public identity signals tied to the username.","Review the username","/#search — Username","output/ads/campaigns/kids/kids-before-meeting-4x5.png",""
"REL-01","Relationship uncertainty","Dating app profiles","Adults questioning whether a partner or match maintains other dating identities","25–54","Paid-edgy","Are they on dating apps?","See where the identity appears","When the story does not add up, start with a real signal. Anya brings public profiles, aliases, and exposure context into one reviewable workspace.","See what connects","/pricing — Dating Apps + Identity","output/ads/campaigns/cheating/cheating-dating-apps-4x5.png","output/ads/campaigns/cheating/cheating-dating-apps-square.png"
"REL-02","Relationship uncertainty","Late-night texts","Adults who recognize changes in texting patterns","35–60","Paid-edgy","Who keeps texting after midnight?","See what connects to the number","A phone number can connect to public identity, profile, and exposure signals. Review the trail without guessing.","Check the number","/#search — Phone","output/ads/campaigns/cheating/cheating-midnight-texts-4x5.png",""
"REL-03","Relationship uncertainty","Two names","Adults who found a second phone number or conflicting identity details","30–60","Paid-edgy","One number. Two different names.","Compare the identity signals","Conflicting names are a reason to verify—not a conclusion. Anya keeps each public signal attached to its source.","Review the number","/#search — Phone","output/ads/campaigns/cheating/cheating-two-names-4x5.png",""
"REL-04","Relationship uncertainty","The coworker story","Adults suspicious of a newly prominent contact","30–55","Organic-first","Is that really a coworker?","See the identity behind the number","When a new contact becomes part of the story, start with a real signal and review the public trail for yourself.","See what connects","/#search — Phone","output/ads/campaigns/cheating/cheating-coworker-4x5.png",""
"REL-05","Relationship uncertainty","No video chat","Adults in online or long-distance relationships","25–45","Paid-edgy","Why won't they video chat?","See whether the identity connects","A username can appear across multiple public surfaces. Check whether the identity signals tell a consistent story.","Search the username","/#search — Username","output/ads/campaigns/cheating/cheating-no-video-4x5.png",""
"EXP-01","Protecting your data","Search yourself","Privacy-conscious adults and professionals","30–65","Paid-safe","Search yourself before they do.","See what is exposed","Use the email you already own. Anya brings breach, public profile, and indexed exposure signals into one reviewable search.","Search your email","/#search — Breaches","output/ads/campaigns/exposure/exposure-search-yourself-4x5.png","output/ads/campaigns/exposure/exposure-search-yourself-square.png"
"EXP-02","Protecting your data","Email breach","Adults who use one email across many services","30–65","Paid-safe","Was your email in a breach?","Check your email exposure","A breach result is useful when the source and context stay attached. Search your email and review the exposure record clearly.","Check your email","/#search — Breaches","output/ads/campaigns/exposure/exposure-email-breach-4x5.png",""
"EXP-03","Protecting your data","Password reset alerts","Adults noticing unusual password reset or login emails","30–60","Paid-safe","Why are password resets starting?","Review the email's exposure trail","Unexpected reset alerts can be a reason to review your exposure. Search the email and see which records and sources connect.","Check the email","/#search — Breaches","output/ads/campaigns/exposure/exposure-password-resets-4x5.png",""
"EXP-04","Protecting your data","Old password","Adults who have reused passwords over many years","35–65","Paid-safe","Your old password still matters.","Find old credential exposure","Old credential exposure does not always stay in the past. Review the records tied to your email and keep every source in context.","Review your exposure","/#search — Breaches","output/ads/campaigns/exposure/exposure-old-password-4x5.png",""
"EXP-05","Protecting your data","What strangers see","Adults concerned about their visible digital footprint","30–60","Paid-safe","What can strangers find on you?","See your public digital footprint","Search the username you use most. Anya shows the public account, alias, and exposure signals that connect to it.","Search yourself","/#search — Username","output/ads/campaigns/exposure/exposure-stranger-view-4x5.png",""
"TRU-01","Who enters your life","Babysitter identity","Parents confirming the identity and contact information they were given","30–55","Paid-safe","Before the babysitter arrives.","Confirm the public identity","Confirm the name and contact details you were given before someone cares for your child. Public-source identity context only—not employment screening.","Review public signals","/pricing — Name Search","output/ads/campaigns/trust/trust-babysitter-4x5.png","output/ads/campaigns/trust/trust-babysitter-square.png"
"TRU-02","Who enters your life","Coach or volunteer","Parents and community members confirming a coach, volunteer, or youth leader's public identity","35–60","Paid-safe","Titles aren't proof.","Review the public identity","A title can create trust quickly. Confirm the public identity and contact details behind it before relying on the introduction.","Check the public details","/pricing — Name Search","output/ads/campaigns/trust/trust-coach-title-4x5.png",""
"TRU-03","Who enters your life","First date","Adults planning a first in-person meeting with an online match","25–55","Paid-safe","Before the first date.","Check the public details first","Before meeting an online match in person, check whether the public identity signals tied to the number tell a consistent story.","Check the number","/#search — Phone","output/ads/campaigns/trust/trust-first-date-4x5.png",""
"TRU-04","Who enters your life","Marketplace meetup","Adults arranging an in-person marketplace purchase","30–60","Paid-safe","Meeting a seller in person?","Review the seller's public signals","Before an in-person marketplace meetup, use the seller's number to review public identity, profile, and reputation signals.","Check the seller's number","/#search — Phone","output/ads/campaigns/trust/trust-marketplace-seller-4x5.png",""
"TRU-05","Who enters your life","Entering your home","Homeowners confirming a new visitor or service contact","35–65","Paid-safe","Before they enter your home.","Confirm the public identity first","Before a new person enters your home, confirm that the name, phone, and public profile details you were given connect.","Review public details","/pricing — Name Search","output/ads/campaigns/trust/trust-entering-home-4x5.png",""
